;code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université;boîte postale;adresse;CP;commune;commune (COG);cedex;téléphone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);début portes ouvertes;fin portes ouvertes;commentaires portes ouvertes;lien site onisep.fr;;photo-batiment;photo-proviseur;photo-class;;;;;;;;
;0750610F;19750610800012;Collège;Collège Jules Verne;;Public;Ministère chargé de l'Éducation nationale;;;20 rue de la Brèche-aux-Loups;75012;Paris;75112;;01 44 75 74 10;12;Paris;Paris;Ile-de-France;11;2,393854;48,837338;;;;;;http://www.lycee-paul-claudel.fr/images/paulclaudel-02/photos/lycee21200x450.jpg;http://bondotti.ac.ke/wp-content/uploads/2015/08/The-Principle-Mr-Peter-Omondi-in-his-office.jpg;http://www.radioslatina.hr/wp-content/uploads/2018/01/u%C4%8Denici-osnovna-%C5%A1kola-ilustracija.jpg;;;;;;;;
;0754853T;;Collège;Collège privé Georges Leven;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;30 boulevard Carnot;75012;Paris;75112;;01 44 73 80 60;12;Paris;Paris;Ile-de-France;11;2,413;48,84376;;;;;;https://img.bfmtv.com/c/1000/600/5c9/2f46399380654dbf6659d27edc35e.jpeg;https://hilite.org/wp-content/uploads/2015/09/Beat.Photo_.jpg;http://www.designshare.com/dbadmin/upload/projects/1/502/General_Classroom_6.jpg;;;;;;;;
;0754006X;78480864400024;Collège;Collège privé Notre-Dame de Lourdes;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;16 rue Taclet;75020;Paris;75120;;01 40 30 33 75;20;Paris;Paris;Ile-de-France;11;2,397795;48,871499;;;;;;http://camilleclaudel.arsene76.fr/lectureFichiergw.do?ID_FICHIER=1261;http://www.huntingtoncountytab.com/sites/default/files/styles/scale500w/public/feature/Parsons.feature4645.jpg;https://news.virginia.edu/sites/default/files/styles/uva_basic_article/public/article_image/stree_law.jpg?itok=5rMPeL7Z.jpg;;;;;;;;
;0753982W;78454448800025;Collège;Collège La Salle - Notre-Dame de la Gare;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;20 rue de Domrémy;75013;Paris;75113;;01 45 83 53 38;13;Paris;Paris;Ile-de-France;11;2,372611;48,830145;;;;;;https://img.over-blog-kiwi.com/1/83/41/40/20170529/ob_ec964f_p1240820.JPG;http://themolokainews.com/wp-content/uploads/2010/09/dsc_0148.jpg;https://static01.nyt.com/images/2017/08/13/nyregion/13MASTERY/13MASTERY-articleLarge.jpg;;;;;;;;
;0752249M;19752249300018;Collège;Collège Jules Romains;;Public;Ministère chargé de l'Éducation nationale;;;6 rue Cler;75007;Paris;75107;;01 43 17 36 65;7;Paris;Paris;Ile-de-France;11;2,305264;48,858915;;;;;;https://cdn1-lejdd.ladmedia.fr/var/europe1/storage/images/lejdd/societe/education/colleges-le-test-qui-fait-debat-827719/36915521-2-fre-FR/Mixite-scolaire-a-Paris-le-test-qui-fait-debat.jpg;http://tamnews.org/wp-content/uploads/2012/10/LynchOnline.jpg;https://www.nacel.org/images/programmes/Exchange-program-in-the-USA-image2.jpg;;;;;;;;
;0752870M;77568804700049;Collège;Collège privé Saint-Jean de Passy;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;72 rue Raynouard;75016;Paris;75116;;01 44 30 26 00;16;Paris;Paris;Ile-de-France;11;2,278544;48,854386;;;;;;https://france3-regions.francetvinfo.fr/paris-ile-de-france/sites/regions_france3/files/styles/top_big/public/assets/images/2017/10/10/lycee_voltaire-3304343.jpg?itok=_px9fvG2;https://vignette.wikia.nocookie.net/agk/images/7/7e/Principal_Angus.jpg;http://mediad.publicbroadcasting.net/p/wunc/files/201412/FullSizeRender_%282%29.jpg;;;;;;;;
;0750607C;19750607400016;Collège;Collège Alain Fournier;;Public;Ministère chargé de l'Éducation nationale;;;87 rue Léon-Frot;75011;Paris;75111;;01 53 27 60 90;11;Paris;Paris;Ile-de-France;11;2,383947;48,858263;;;;;;https://img.lemde.fr/2016/11/28/0/0/4599/3066/534/0/60/0/d00fa13_29325-1c17u4y.jdvhpbke29.jpg;https://acestoohigh.files.wordpress.com/2013/03/javier.jpg;https://study.com/cimages/multimages/16/08619177-0624-464b-8b67-b28cd61b913e_adobestock_118245338.png;;;;;;;;
;0752913J;78425936800024;Collège;Collège privé Sévigné;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;28 rue Pierre Nicole;75005;Paris;75105;;01 53 10 14 14;5;Paris;Paris;Ile-de-France;11;2,339444;48,840714;;;;;;http://www.cours-aquila.com/wp-content/uploads/2017/06/ecole-massillon-opt.jpg;https://www.pe.com/wp-content/uploads/migration/n22/n22kmm-wprincipals0629roebinary1082132.jpg?w=620;http://cdn.neonsky.com/511d5ec04f4b0/images/_2-20110913_9506_1-1.jpg;;;;;;;;
;0754290F;77567877400198;Collège;Collège privé Ozar Hatorah;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;34 rue du Moulin Joly;75011;Paris;75111;;01 43 38 50 19;11;Paris;Paris;Ile-de-France;11;2,377898;48,870223;;;;;;https://www.fcpe75.org/wp-content/uploads/2015/12/8420678050_a748861a67_b-630x274.jpg;https://s.hdnux.com/photos/02/13/06/569782/5/1024x1024.jpg;http://www.cdispaces.ca/files/school-furniture/movement-in-the-classroom.jpg;;;;;;;;
;0753896C;30698643100014;Collège;Collège privé Sainte-Clotilde;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;103 rue de Reuilly;75012;Paris;75112;;01 55 78 24 30;12;Paris;Paris;Ile-de-France;11;2,39179;48,842979;;;;;;http://www.lefigaro.fr/medias/2008/06/19/0d2cebcc-3d6f-11dd-8237-8e9ca7223030.jpg;https://d1bdhkmqqz901h.cloudfront.net/980x653/smart/http://www.therepublic.com/wp-content/uploads/sites/6/2016/05/5616c58f99424.hires_.jpg;https://www.teachthought.com/wp-content/uploads/2014/05/tulanepublicrelations-formative-data-sources.jpg;;;;;;;;
;0752911G;78452116300039;Collège;Collège privé Eugène Napoléon Saint-Pierre Fourier;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;13 rue de Prague;75012;Paris;75112;;01 43 43 55 03;12;Paris;Paris;Ile-de-France;11;2,375847;48,849837;;;;;;http://upload.wikimedia.org/wikipedia/commons/b/b2/Facade-lyc%C3%A9e-Moli%C3%A8re%28Paris%292.jpg;https://easyreadernews.com/wp-content/uploads/2014/02/charles1-600x397.jpg;https://www.fairmontflyer.com/wp-content/uploads/2013/09/21st-Classroom-Final-for-Web-copy-525x350.jpg;;;;;;;;
;0752526N;19752526400010;Collège;Collège Henri IV;;Public;Ministère chargé de l'Éducation nationale;;;23 rue Clovis;75005;Paris;75105;;01 44 41 21 21;5;Paris;Paris;Ile-de-France;11;2,349101;48,846149;;;;;;http://lyc-jules-ferry.scola.ac-paris.fr/wp-content/uploads/2013/06/vue-jules-ferry.jpg;http://blackdaleschool.org/jpg/Principal%20in%20his%20Office.JPG;https://theblacksheeponline.com/wp-content/uploads/2017/01/SI-2255-classroom.detail.jpg;;;;;;;;
;0752896R;33485177100025;Collège;Collège privé Notre-Dame de France;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;63 rue de la Santé;75013;Paris;75113;;01 44 08 69 70;13;Paris;Paris;Ile-de-France;11;2,341343;48,833504;;;;;;http://www.lefigaro.fr/medias/2014/12/10/PHOf96a848e-808b-11e4-ad27-066f74d5e4d5-805x453.jpg;https://bloximages.chicago2.vip.townnews.com/ithaca.com/content/tncms/assets/v3/editorial/e/88/e886d300-3605-11e4-8786-001a4bcf887a/540b714d9ee79.image.jpg;https://www.2020spaces.com/wp-content/uploads/2017/10/classroom.jpg;;;;;;;;
;0753047E;19753047000016;Collège;Collège la Grange aux Belles;;Public;Ministère chargé de l'Éducation nationale;;;158 quai de Jemmapes;75010;Paris;75110;;01 42 08 75 30;10;Paris;Paris;Ile-de-France;11;2,366754;48,878416;;;;;;http://ekladata.com/1xmNQB7CHnamoHwzw1yXInWKnps.jpg;http://foothilldragonpress.org/wp-content/uploads/Cohen@Deskposed-759x500.jpg;http://www.radioslatina.hr/wp-content/uploads/2018/01/u%C4%8Denici-osnovna-%C5%A1kola-ilustracija.jpg;;;;;;;;
;0752527P;19752527200013;Collège;Collège Montaigne;;Public;Ministère chargé de l'Éducation nationale;;;17 rue Auguste Comte;75006;Paris;75106;;01 44 41 83 23;6;Paris;Paris;Ile-de-France;11;2,333176;48,844382;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/6e/Coll%C3%A8ge_S%C3%A9vign%C3%A9_Paris.JPG;http://bondotti.ac.ke/wp-content/uploads/2015/08/The-Principle-Mr-Peter-Omondi-in-his-office.jpg;http://www.designshare.com/dbadmin/upload/projects/1/502/General_Classroom_6.jpg;;;;;;;;
;0751791P;19751791500017;Collège;Collège Condorcet;;Public;Ministère chargé de l'Éducation nationale;;;61 rue d'Amsterdam;75008;Paris;75108;;01 53 20 69 20;8;Paris;Paris;Ile-de-France;11;2,327043;48,880946;;;;;;https://www.marianne.net/sites/default/files/styles/mrn_article_large/public/imported/13434-100248408.jpg?itok=NfMQOU9_;https://hilite.org/wp-content/uploads/2015/09/Beat.Photo_.jpg;https://news.virginia.edu/sites/default/files/styles/uva_basic_article/public/article_image/stree_law.jpg?itok=5rMPeL7Z.jpg;;;;;;;;
;0752900V;57222293300069;Collège;Collège privé Stanislas;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;22 rue Notre-Dame des Champs;75006;Paris;75106;;01 42 84 88 00;6;Paris;Paris;Ile-de-France;11;2,327746;48,845719;;;;;;http://www.cbbm.fr/wp-content/uploads/CBBM_Projet_college_anatole_FRANCE_01.jpg;http://www.huntingtoncountytab.com/sites/default/files/styles/scale500w/public/feature/Parsons.feature4645.jpg;https://static01.nyt.com/images/2017/08/13/nyregion/13MASTERY/13MASTERY-articleLarge.jpg;;;;;;;;
;0752524L;19752524900011;Collège;Collège Victor Hugo;;Public;Ministère chargé de l'Éducation nationale;;;27 rue de Sévigné;75003;Paris;75103;;01 49 96 41 80;3;Paris;Paris;Ile-de-France;11;2,363467;48,857788;;;;;;https://cdn.radiofrance.fr/s3/cruiser-production/2015/10/c2ad7ea9-c0d6-4f89-9a36-ca6091d33317/870x489_montaigne.jpg;http://themolokainews.com/wp-content/uploads/2010/09/dsc_0148.jpg;https://www.nacel.org/images/programmes/Exchange-program-in-the-USA-image2.jpg;;;;;;;;
;0752548M;19752548800015;Collège;Collège Janson de Sailly;;Public;Ministère chargé de l'Éducation nationale;;;106 rue de la Pompe;75016;Paris;75116;;01 55 73 28 00;16;Paris;Paris;Ile-de-France;11;2,279447;48,865689;;;;;;https://heuredupeuple.fr/wp-content/uploads/2018/02/Lyc%C3%A9e_H%C3%A9l%C3%A8ne-Boucher_2.jpg;http://tamnews.org/wp-content/uploads/2012/10/LynchOnline.jpg;http://mediad.publicbroadcasting.net/p/wunc/files/201412/FullSizeRender_%282%29.jpg;;;;;;;;
;0752912H;32365825200024;Collège;Collège privé de l'Alma;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;12 avenue Bosquet;75007;Paris;75107;;01 44 18 62 82;7;Paris;Paris;Ile-de-France;11;2,302672;48,860114;;;;;;https://www.francetvinfo.fr/image/759smiibd-c1c0/1200/450/10716897.jpg;https://vignette.wikia.nocookie.net/agk/images/7/7e/Principal_Angus.jpg;https://study.com/cimages/multimages/16/08619177-0624-464b-8b67-b28cd61b913e_adobestock_118245338.png;;;;;;;;
;0753387Z;77567829500178;Collège;Collège privé Beth Yacov;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;50 bis rue des Prairies;75020;Paris;75120;;01 43 66 35 27;20;Paris;Paris;Ile-de-France;11;2,40235;48,863208;;;;;;http://www.quackenbusharchitects.com/media/_versions/projects/4042-02_project_image_slider.jpg;https://acestoohigh.files.wordpress.com/2013/03/javier.jpg;http://cdn.neonsky.com/511d5ec04f4b0/images/_2-20110913_9506_1-1.jpg;;;;;;;;
;0750575T;19750575300024;Collège;Collège Sonia Delaunay;;Public;Ministère chargé de l'Éducation nationale;;;14 rue Euryale Dehaynin;75019;Paris;75119;;01 42 08 38 33;19;Paris;Paris;Ile-de-France;11;2,378109;48,885925;;;;;;https://www.ouest-france.fr/sites/default/files/styles/image-640x360/public/2016/09/01/le-college-de-pontchateau-fait-sa-premiere-rentree.jpg;https://www.pe.com/wp-content/uploads/migration/n22/n22kmm-wprincipals0629roebinary1082132.jpg?w=620;http://www.cdispaces.ca/files/school-furniture/movement-in-the-classroom.jpg;;;;;;;;
;0752895P;77568012700047;Collège;Collège privé Charles Péguy;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;54 avenue de la République;75011;Paris;75111;;01 48 05 16 47;11;Paris;Paris;Ile-de-France;11;2,376012;48,864998;;;;;;https://img.20mn.fr/nITyQolVT36AStwl8f5RzQ/830x532-51x51_nouveau-lycee-carquefou;https://s.hdnux.com/photos/02/13/06/569782/5/1024x1024.jpg;https://www.teachthought.com/wp-content/uploads/2014/05/tulanepublicrelations-formative-data-sources.jpg;;;;;;;;
;0753978S;78449033600020;Collège;Collège privé Saint-Ambroise;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;11 passage Saint Ambroise;75011;Paris;75111;;01 47 00 79 12;11;Paris;Paris;Ile-de-France;11;2,377181;48,863581;;;;;;https://www.seine-saint-denis.fr/IMG/jpg/anatolefrance720.jpg;https://d1bdhkmqqz901h.cloudfront.net/980x653/smart/http://www.therepublic.com/wp-content/uploads/sites/6/2016/05/5616c58f99424.hires_.jpg;https://www.fairmontflyer.com/wp-content/uploads/2013/09/21st-Classroom-Final-for-Web-copy-525x350.jpg;;;;;;;;
;0750445B;19750445900029;Collège;Collège Alberto Giacometti;;Public;Ministère chargé de l'Éducation nationale;;;7 rue du Cange;75014;Paris;75114;;01 44 12 60 20;14;Paris;Paris;Ile-de-France;11;2,3148284;48,8342298;;;;;;http://www.architexgroup.com/uploaded/projects/38/38-.JPG;https://easyreadernews.com/wp-content/uploads/2014/02/charles1-600x397.jpg;https://theblacksheeponline.com/wp-content/uploads/2017/01/SI-2255-classroom.detail.jpg;;;;;;;;
;0754528P;19750528200016;Collège;Collège Pilâtre de Rozier;;Public;Ministère chargé de l'Éducation nationale;;;11 rue Bouvier;75011;Paris;75111;;01 43 56 74 51;11;Paris;Paris;Ile-de-France;11;2,3867155;48,8525614;;;;;;http://0930089s.wordpress.itslearningfr1.bitnamiapp.com/wp-content/uploads/sites/13/2015/09/IMG_3374_-_copiemod.jpg;http://blackdaleschool.org/jpg/Principal%20in%20his%20Office.JPG;https://www.2020spaces.com/wp-content/uploads/2017/10/classroom.jpg;;;;;;;;
;0752387M;19752387100014;Collège;Collège André Malraux;;Public;Ministère chargé de l'Éducation nationale;;;5 bis rue Saint-Ferdinand;75017;Paris;75117;;01 45 74 49 15;17;Paris;Paris;Ile-de-France;11;2,290916;48,879049;;;;;;https://images.lanouvellerepublique.fr/image/upload/t_1020w/58c326fb489a4510798b4ad2.jpg;https://bloximages.chicago2.vip.townnews.com/ithaca.com/content/tncms/assets/v3/editorial/e/88/e886d300-3605-11e4-8786-001a4bcf887a/540b714d9ee79.image.jpg;http://www.radioslatina.hr/wp-content/uploads/2018/01/u%C4%8Denici-osnovna-%C5%A1kola-ilustracija.jpg;;;;;;;;
;0754253R;19754253300017;Collège;Collège Saint-Exupéry;;Public;Ministère chargé de l'Éducation nationale;;;89 boulevard Arago;75014;Paris;75114;;01 43 31 66 98;14;Paris;Paris;Ile-de-France;11;2,335393;48,834515;;;;;;https://static.actu.fr/uploads/2017/12/25583-171226155822825-0-854x569.jpg;http://foothilldragonpress.org/wp-content/uploads/Cohen@Deskposed-759x500.jpg;http://www.designshare.com/dbadmin/upload/projects/1/502/General_Classroom_6.jpg;;;;;;;;
;0752935H;33086327500047;Collège;Collège privé Ecole active bilingue Jeannine Manuel;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;70 rue du Théâtre;75015;Paris;75115;;01 44 37 00 80;15;Paris;Paris;Ile-de-France;11;2,291141;48,847691;;;;;;http://www.mondedelabible.com/wp-content/uploads/2018/05/Coll%C3%A8ge_de_France.jpg;http://bondotti.ac.ke/wp-content/uploads/2015/08/The-Principle-Mr-Peter-Omondi-in-his-office.jpg;https://news.virginia.edu/sites/default/files/styles/uva_basic_article/public/article_image/stree_law.jpg?itok=5rMPeL7Z.jpg;;;;;;;;
;0753985Z;78454446200020;Collège;Collège privé Sainte-Marie;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;49 rue Bobillot;75013;Paris;75113;;01 45 80 77 90;13;Paris;Paris;Ile-de-France;11;2,351993;48,827394;;;;;;http://cdn.batiweb.com/i/actualites/24919/college-international-noisy-le-grand.jpg;https://hilite.org/wp-content/uploads/2015/09/Beat.Photo_.jpg;https://static01.nyt.com/images/2017/08/13/nyregion/13MASTERY/13MASTERY-articleLarge.jpg;;;;;;;;
;0752108J;19752108100012;Collège;Collège Yvonne le Tac;;Public;Ministère chargé de l'Éducation nationale;;;7 rue Yvonne le Tac;75018;Paris;75118;;01 46 06 09 40;18;Paris;Paris;Ile-de-France;11;2,34068;48,884068;;;;;;http://www.studying-in-france.org/wp-content/uploads/2013/07/versailles-94571.jpg;http://www.huntingtoncountytab.com/sites/default/files/styles/scale500w/public/feature/Parsons.feature4645.jpg;https://www.nacel.org/images/programmes/Exchange-program-in-the-USA-image2.jpg;;;;;;;;
;0750550R;19750550600018;Collège;Collège Lucie Faure;;Public;Ministère chargé de l'Éducation nationale;;;40 rue des Pyrénées;75020;Paris;75120;;01 58 39 34 70;20;Paris;Paris;Ile-de-France;11;2,406353;48,85065;;;;;;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Lyc%C3%A9e-Claude-Bernard-1.jpg/1200px-Lyc%C3%A9e-Claude-Bernard-1.jpg;http://themolokainews.com/wp-content/uploads/2010/09/dsc_0148.jpg;http://mediad.publicbroadcasting.net/p/wunc/files/201412/FullSizeRender_%282%29.jpg;;;;;;;;
;0751707Y;19751707100019;Collège;Collège Edouard Pailleron;;Public;Ministère chargé de l'Éducation nationale;;;33 rue Edouard Pailleron;75019;Paris;75119;;01 42 00 17 00;19;Paris;Paris;Ile-de-France;11;2,3788399;48,8812045;;;;;;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Stan_4.jpg/1200px-Stan_4.jpg;http://tamnews.org/wp-content/uploads/2012/10/LynchOnline.jpg;https://study.com/cimages/multimages/16/08619177-0624-464b-8b67-b28cd61b913e_adobestock_118245338.png;;;;;;;;
;0752107H;19752107300019;Collège;Collège Pierre de Ronsard;;Public;Ministère chargé de l'Éducation nationale;;;140 avenue de Wagram;75017;Paris;75117;;01 47 63 16 17;17;Paris;Paris;Ile-de-France;11;2,303918;48,885985;;;;;;https://www.college-ronsard.net/s/cc_images/cache_29160894.JPG;https://vignette.wikia.nocookie.net/agk/images/7/7e/Principal_Angus.jpg;http://cdn.neonsky.com/511d5ec04f4b0/images/_2-20110913_9506_1-1.jpg;;;;;;;;
